Pedido,Data pedido,Fornecedor,Data prevista,Data entregue,Status da Entrega,Pontualidade,Dias_para_Entrega,Dias_previsto,Predição_dias_para_Entrega,Predição_data_de_entrega
313,2025-03-18,ENICA,2025-03-21,2025-03-28,Entregue,Fora do Prazo,10.0,3,,
315,2025-03-18,TOD,2025-03-18,2025-03-28,Entregue,Fora do Prazo,10.0,0,,
316,2025-03-18,TOD,2025-03-28,2025-04-03,Entregue,Fora do Prazo,16.0,10,,
317,2025-03-18,TOD,2025-03-18,2025-04-03,Entregue,Fora do Prazo,16.0,0,,
318,2025-03-18,TOD,2025-03-18,2025-03-31,Entregue,Fora do Prazo,13.0,0,,
319,2025-03-19,HMC,2025-03-19,2025-04-02,Entregue,Fora do Prazo,14.0,0,,
320,2025-03-19,RCM,2025-03-19,2025-04-02,Entregue,Fora do Prazo,14.0,0,,
321,2025-03-19,SWA,2025-03-19,2025-04-02,Entregue,Fora do Prazo,14.0,0,,
322,2025-03-19,SWA,2025-03-19,2025-04-02,Entregue,Fora do Prazo,14.0,0,,
323,2025-03-19,SWA,2025-03-19,2025-04-02,Entregue,Fora do Prazo,14.0,0,,
324,2025-03-19,MOLE,2025-03-19,2025-04-02,Entregue,Fora do Prazo,14.0,0,,
325,2025-03-19,MOLE,2025-03-19,2025-04-09,Entregue,Fora do Prazo,21.0,0,,
326,2025-03-19,MJA,2025-03-19,2025-04-09,Entregue,Fora do Prazo,21.0,0,,
327,2025-03-19,TOD,2025-03-19,2025-04-09,Entregue,Fora do Prazo,21.0,0,,
328,2025-03-19,MUL,2025-03-19,2025-04-09,Entregue,Fora do Prazo,21.0,0,,
329,2025-03-19,PB,2025-03-19,2025-04-03,Entregue,Fora do Prazo,15.0,0,,
330,2025-03-19,PB,2025-03-19,2025-04-03,Entregue,Fora do Prazo,15.0,0,,
331,2025-03-19,PB,2025-03-19,2025-04-03,Entregue,Fora do Prazo,15.0,0,,
332,2025-03-19,PIN,2025-03-19,2025-04-03,Entregue,Fora do Prazo,15.0,0,,
333,2025-03-19,PB,2025-03-19,2025-04-03,Entregue,Fora do Prazo,15.0,0,,
334,2025-03-19,DCS,2025-03-19,2025-04-03,Entregue,Fora do Prazo,15.0,0,,
335,2025-03-19,MJA,2025-03-19,2025-04-03,Entregue,Fora do Prazo,15.0,0,,
336,2025-03-19,MJA,2025-03-19,2025-04-03,Entregue,Fora do Prazo,15.0,0,,
337,2025-03-19,TOD,2025-03-19,2025-04-03,Entregue,Fora do Prazo,15.0,0,,
338,2025-03-19,JPM,2025-03-19,2025-03-19,Entregue,Dentro do prazo,0.0,0,,
339,2025-03-19,MJA,2025-03-31,2025-04-10,Entregue,Fora do Prazo,22.0,12,,
340,2025-03-19,VC,2025-03-31,2025-04-10,Entregue,Fora do Prazo,22.0,12,,
341,2025-03-20,ALRT,2025-03-20,2025-04-10,Entregue,Fora do Prazo,21.0,0,,
342,2025-03-20,ALRT,2025-04-30,2025-04-09,Entregue,Dentro do prazo,20.0,41,,
343,2025-03-20,ALRT,2025-04-30,2025-05-05,Entregue,Fora do Prazo,46.0,41,,
344,2025-03-20,ALRT,2025-03-20,2025-04-02,Entregue,Fora do Prazo,13.0,0,,
345,2025-03-20,ALRT,2025-03-20,2025-04-02,Entregue,Fora do Prazo,13.0,0,,
346,2025-03-20,ALRT,2025-03-20,2025-04-02,Entregue,Fora do Prazo,13.0,0,,
347,2025-03-20,ALRT,2025-03-20,2025-04-02,Entregue,Fora do Prazo,13.0,0,,
348,2025-03-20,MF,2025-03-21,2025-04-07,Entregue,Fora do Prazo,18.0,1,,
349,2025-03-20,MF,2025-03-20,2025-03-28,Entregue,Fora do Prazo,8.0,0,,
350,2025-03-20,CCT,2025-03-20,2025-03-28,Entregue,Fora do Prazo,8.0,0,,
351,2025-03-20,CCT,2025-03-20,2025-03-28,Entregue,Fora do Prazo,8.0,0,,
352,2025-03-21,STO,2025-03-24,2025-04-02,Entregue,Fora do Prazo,12.0,3,,
353,2025-03-24,DCS,2025-03-24,2025-03-28,Entregue,Fora do Prazo,4.0,0,,
354,2025-03-24,STO,2025-03-24,2025-04-07,Entregue,Fora do Prazo,14.0,0,,
355,2025-03-24,STO,2025-03-24,2025-04-07,Entregue,Fora do Prazo,14.0,0,,
356,2025-03-24,FT,2025-03-24,2025-04-15,Entregue,Fora do Prazo,22.0,0,,
357,2025-03-24,PB,2025-03-24,2025-04-02,Entregue,Fora do Prazo,9.0,0,,
358,2025-03-24,MJA,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
359,2025-03-24,AEA,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
360,2025-03-24,AEA,2025-03-24,2025-04-09,Entregue,Fora do Prazo,16.0,0,,
361,2025-03-24,MJA,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
362,2025-03-24,RTPS,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
363,2025-03-24,WGA,2025-03-24,2025-04-09,Entregue,Fora do Prazo,16.0,0,,
364,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
365,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
366,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
367,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
368,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
369,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo,18.0,0,,
370,2025-03-24,FT,2025-03-24,2025-04-07,Entregue,Fora do Prazo,14.0,0,,
371,2025-03-24,FT,2025-03-24,2025-04-07,Entregue,Fora do Prazo,14.0,0,,
372,2025-03-24,FT,2025-03-24,2025-04-07,Entregue,Fora do Prazo,14.0,0,,
373,2025-03-24,VC,2025-03-24,2025-04-07,Entregue,Fora do Prazo,14.0,0,,
374,2025-03-24,VC,2025-03-27,2025-04-07,Entregue,Fora do Prazo,14.0,3,,
375,2025-03-24,VC,2025-03-27,2025-04-07,Entregue,Fora do Prazo,14.0,3,,
376,2025-03-24,SAP,2025-03-27,2025-04-07,Entregue,Fora do Prazo,14.0,3,,
377,2025-03-24,TOD,2025-03-27,2025-04-07,Entregue,Fora do Prazo,14.0,3,,
378,2025-03-25,MJA,2025-03-25,2025-04-03,Entregue,Fora do Prazo,9.0,0,,
379,2025-03-25,AB,2025-03-25,2025-04-04,Entregue,Fora do Prazo,10.0,0,,
380,2025-03-25,STO,2025-03-25,2025-04-07,Entregue,Fora do Prazo,13.0,0,,
381,2025-03-25,PB,2025-03-25,2025-04-07,Entregue,Fora do Prazo,13.0,0,,
382,2025-03-25,JOW,2025-03-25,2025-04-14,Entregue,Fora do Prazo,20.0,0,,
383,2025-03-25,JOW,2025-03-25,2025-04-24,Entregue,Fora do Prazo,30.0,0,,
384,2025-03-26,JOW,2025-04-28,2025-07-10,Entregue,Fora do Prazo,106.0,33,,
385,2025-03-26,PB,2025-04-28,2025-05-01,Entregue,Fora do Prazo,36.0,33,,
386,2025-03-26,BFPS,2025-05-28,2025-05-27,Entregue,Dentro do prazo,62.0,63,,
387,2025-03-26,TOD,2025-06-28,2025-07-10,Entregue,Fora do Prazo,106.0,94,,
388,2025-03-26,TOD,2025-04-28,2025-05-01,Entregue,Fora do Prazo,36.0,33,,
389,2025-03-26,TOD,2025-05-28,2025-05-27,Entregue,Dentro do prazo,62.0,63,,
390,2025-03-26,AFE,2025-06-28,2025-07-10,Entregue,Fora do Prazo,106.0,94,,
391,2025-03-26,AFE,2025-04-28,2025-05-01,Entregue,Fora do Prazo,36.0,33,,
392,2025-03-26,FSS,2025-04-28,2025-05-01,Entregue,Fora do Prazo,36.0,33,,
393,2025-03-26,CM,2025-04-28,2025-05-01,Entregue,Fora do Prazo,36.0,33,,
394,2025-03-26,CIMDE,2025-05-28,2025-05-27,Entregue,Dentro do prazo,62.0,63,,
395,2025-03-26,MJA,2025-06-28,2025-07-10,Entregue,Fora do Prazo,106.0,94,,
396,2025-03-27,ACDMH,2025-03-27,2025-04-03,Entregue,Fora do Prazo,7.0,0,,
397,2025-03-27,VC,2025-03-27,2025-04-03,Entregue,Fora do Prazo,7.0,0,,
398,2025-03-27,PB,2025-03-27,2025-04-03,Entregue,Fora do Prazo,7.0,0,,
399,2025-03-27,LCM,2025-03-27,2025-03-28,Entregue,Fora do Prazo,1.0,0,,
400,2025-03-27,DLCA,2025-03-27,2025-03-28,Entregue,Fora do Prazo,1.0,0,,
401,2025-03-27,DLCA,2025-03-27,2025-03-28,Entregue,Fora do Prazo,1.0,0,,
402,2025-03-27,DLCA,2025-03-27,2025-04-10,Entregue,Fora do Prazo,14.0,0,,
403,2025-03-27,DLCA,2025-03-27,2025-03-28,Entregue,Fora do Prazo,1.0,0,,
404,2025-03-27,JOW,2025-03-29,2025-04-10,Entregue,Fora do Prazo,14.0,2,,
405,2025-03-28,CDMICT,2025-03-28,2025-04-03,Entregue,Fora do Prazo,6.0,0,,
406,2025-03-28,SWA,2025-03-28,2025-04-03,Entregue,Fora do Prazo,6.0,0,,
407,2025-03-28,JPM,2025-04-21,2025-04-03,Entregue,Dentro do prazo,6.0,24,,
408,2025-03-31,CM,2025-03-31,2025-04-07,Entregue,Fora do Prazo,7.0,0,,
409,2025-03-31,CM,2025-03-31,2025-04-04,Entregue,Fora do Prazo,4.0,0,,
410,2025-03-31,CM,2025-03-31,2025-04-07,Entregue,Fora do Prazo,7.0,0,,
411,2025-03-31,CM,2025-03-31,2025-04-07,Entregue,Fora do Prazo,7.0,0,,
412,2025-03-31,CM,2025-03-31,2025-04-10,Entregue,Fora do Prazo,10.0,0,,
413,2025-03-31,DLCA,2025-03-31,2025-04-10,Entregue,Fora do Prazo,10.0,0,,
414,2025-03-31,JPM,2025-03-31,2025-04-10,Entregue,Fora do Prazo,10.0,0,,
415,2025-03-31,EMSPPA,2025-03-31,2025-04-10,Entregue,Fora do Prazo,10.0,0,,
416,2025-03-31,EMSPPA,2025-04-02,2025-04-03,Entregue,Fora do Prazo,3.0,2,,
417,2025-03-31,SGB,2025-03-31,2025-04-07,Entregue,Fora do Prazo,7.0,0,,
418,2025-03-31,SGB,2025-03-31,2025-04-02,Entregue,Fora do Prazo,2.0,0,,
419,2025-03-31,SGB,2025-03-31,2025-04-07,Entregue,Fora do Prazo,7.0,0,,
420,2025-03-31,VC,2025-03-31,2025-04-07,Entregue,Fora do Prazo,7.0,0,,
421,2025-03-31,CIDB,2025-03-31,2025-04-02,Entregue,Fora do Prazo,2.0,0,,
422,2025-03-31,MTLEC,2025-04-25,2025-05-20,Entregue,Fora do Prazo,50.0,25,,
423,2025-03-31,WEPP,2025-04-25,2025-05-20,Entregue,Fora do Prazo,50.0,25,,
424,2025-03-31,VC,2025-04-25,2025-05-20,Entregue,Fora do Prazo,50.0,25,,
425,2025-03-31,MRFC,2025-04-25,2025-05-20,Entregue,Fora do Prazo,50.0,25,,
426,2025-03-31,RCSS,2025-04-15,2025-05-20,Entregue,Fora do Prazo,50.0,15,,
427,2025-03-31,OBIC,2025-04-25,2025-05-20,Entregue,Fora do Prazo,50.0,25,,
428,2025-03-31,RCSS,2025-04-15,2025-05-20,Entregue,Fora do Prazo,50.0,15,,
429,2025-03-31,RCSS,2025-04-25,2025-05-20,Entregue,Fora do Prazo,50.0,25,,
430,2025-03-31,SRPA,2025-04-25,2025-05-20,Entregue,Fora do Prazo,50.0,25,,
431,2025-03-31,MCA,2025-03-31,2025-04-07,Entregue,Fora do Prazo,7.0,0,,
432,2025-03-31,MCA,2025-03-31,2025-04-07,Entregue,Fora do Prazo,7.0,0,,
433,2025-03-31,RCM,2025-03-31,2025-04-07,Entregue,Fora do Prazo,7.0,0,,
434,2025-04-01,ALRT,2025-04-01,2025-04-07,Entregue,Fora do Prazo,6.0,0,,
435,2025-04-01,ALRT,2025-04-01,2025-04-07,Entregue,Fora do Prazo,6.0,0,,
436,2025-04-01,ALRT,2025-04-03,2025-04-07,Entregue,Fora do Prazo,6.0,2,,
437,2025-04-02,ALRT,2025-04-02,2025-04-02,Entregue,Dentro do prazo,0.0,0,,
438,2025-04-02,RCM,2025-04-02,2025-04-03,Entregue,Fora do Prazo,1.0,0,,
439,2025-04-02,SWA3,2025-04-02,2025-04-07,Entregue,Fora do Prazo,5.0,0,,
440,2025-04-02,HHC,2025-04-02,2025-04-07,Entregue,Fora do Prazo,5.0,0,,
441,2025-04-02,CHNS,2025-04-02,2025-04-07,Entregue,Fora do Prazo,5.0,0,,
442,2025-04-02,CHNS,2025-04-02,2025-04-07,Entregue,Fora do Prazo,5.0,0,,
443,2025-04-03,EST,2025-04-03,2025-03-24,Entregue,Dentro do prazo,-10.0,0,,
444,2025-04-03,EST,2025-04-03,2025-04-07,Entregue,Fora do Prazo,4.0,0,,
445,2025-04-03,EST,2025-04-03,2025-04-09,Entregue,Fora do Prazo,6.0,0,,
447,2025-04-04,VCZ,2025-04-04,2025-04-07,Entregue,Fora do Prazo,3.0,0,,
448,2025-04-04,MOLE,2025-04-08,2025-04-09,Entregue,Fora do Prazo,5.0,4,,
449,2025-04-04,VC,2025-04-04,2025-04-09,Entregue,Fora do Prazo,5.0,0,,
450,2025-04-04,HMC,2025-04-04,2025-04-09,Entregue,Fora do Prazo,5.0,0,,
451,2025-04-04,HMC,2025-04-04,2025-04-07,Entregue,Fora do Prazo,3.0,0,,
452,2025-04-04,HMC,2025-04-04,2025-04-07,Entregue,Fora do Prazo,3.0,0,,
453,2025-04-04,HMC,2025-04-04,2025-04-07,Entregue,Fora do Prazo,3.0,0,,
454,2025-04-07,HMC,2025-04-09,2025-04-10,Entregue,Fora do Prazo,3.0,2,,
455,2025-04-07,HMC,2025-04-07,2025-04-07,Entregue,Dentro do prazo,0.0,0,,
456,2025-04-07,HMC,2025-04-07,2025-04-07,Entregue,Dentro do prazo,0.0,0,,
457,2025-04-07,HMC,2025-04-07,2025-04-07,Entregue,Dentro do prazo,0.0,0,,
458,2025-04-07,HMC,2025-04-07,2025-04-07,Entregue,Dentro do prazo,0.0,0,,
459,2025-04-07,HMC,2025-04-07,2025-04-09,Entregue,Fora do Prazo,2.0,0,,
460,2025-04-07,MCA,2025-04-07,2025-04-09,Entregue,Fora do Prazo,2.0,0,,
461,2025-04-09,MCA,2025-04-09,2025-04-09,Entregue,Dentro do prazo,0.0,0,,
462,2025-04-09,MCA,2025-04-09,2025-04-09,Entregue,Dentro do prazo,0.0,0,,
463,2025-04-09,DLCA,2025-04-09,2025-04-09,Entregue,Dentro do prazo,0.0,0,,
464,2025-04-09,BIP,2025-04-12,2025-04-28,Entregue,Fora do Prazo,19.0,3,,
465,2025-04-09,BM,2025-04-09,2025-04-09,Entregue,Dentro do prazo,0.0,0,,
466,2025-04-09,BM,2025-04-09,2025-04-10,Entregue,Fora do Prazo,1.0,0,,
467,2025-04-09,KTCN,2025-04-09,2025-04-10,Entregue,Fora do Prazo,1.0,0,,
468,2025-04-10,KTCN,2025-04-10,2025-04-10,Entregue,Dentro do prazo,0.0,0,,
469,2025-04-10,CHNS,2025-04-10,2025-04-14,Entregue,Fora do Prazo,4.0,0,,
470,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo,4.0,0,,
471,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo,4.0,0,,
472,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo,4.0,0,,
473,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo,4.0,0,,
474,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo,4.0,0,,
475,2025-04-10,RPCT,2025-04-10,2025-04-11,Entregue,Fora do Prazo,1.0,0,,
476,2025-04-11,AFE,2025-04-11,2025-04-11,Entregue,Dentro do prazo,0.0,0,,
477,2025-04-11,MJA,2025-04-11,2025-04-11,Entregue,Dentro do prazo,0.0,0,,
478,2025-04-11,MJA,2025-04-11,2025-04-11,Entregue,Dentro do prazo,0.0,0,,
479,2025-04-11,MJA,2025-04-11,2025-04-11,Entregue,Dentro do prazo,0.0,0,,
480,2025-04-11,MJA,2025-04-11,2025-04-11,Entregue,Dentro do prazo,0.0,0,,
481,2025-04-11,PB,2025-04-11,2025-04-11,Entregue,Dentro do prazo,0.0,0,,
482,2025-04-11,PB,2025-04-11,2025-04-11,Entregue,Dentro do prazo,0.0,0,,
483,2025-04-11,MOLE,2025-04-11,2025-04-14,Entregue,Fora do Prazo,3.0,0,,
484,2025-04-11,RAGS,2025-04-11,2025-04-16,Entregue,Fora do Prazo,5.0,0,,
485,2025-04-11,PB,2025-04-11,2025-04-16,Entregue,Fora do Prazo,5.0,0,,
486,2025-04-11,MR,2025-04-11,2025-04-16,Entregue,Fora do Prazo,5.0,0,,
487,2025-04-11,MR,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
488,2025-04-11,MR,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
489,2025-04-11,MR,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
490,2025-04-11,SGB,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
491,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
492,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
493,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
494,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
495,2025-04-11,MCA,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
496,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
497,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
498,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
499,2025-04-11,JMCT,2025-04-11,2025-05-14,Entregue,Fora do Prazo,33.0,0,,
500,2025-04-11,WCI,2025-04-11,2025-05-01,Entregue,Fora do Prazo,20.0,0,,
501,2025-04-11,WCI,2025-04-11,2025-05-01,Entregue,Fora do Prazo,20.0,0,,
502,2025-04-11,WCI,2025-04-11,2025-05-01,Entregue,Fora do Prazo,20.0,0,,
503,2025-04-11,WCI,2025-04-11,2025-05-01,Entregue,Fora do Prazo,20.0,0,,
504,2025-04-11,VCZ,2025-04-11,2025-05-01,Entregue,Fora do Prazo,20.0,0,,
505,2025-04-11,DCD,2025-04-11,2025-04-14,Entregue,Fora do Prazo,3.0,0,,
506,2025-04-11,VC,2025-04-11,2025-04-16,Entregue,Fora do Prazo,5.0,0,,
507,2025-04-11,VTA,2025-04-11,2025-04-14,Entregue,Fora do Prazo,3.0,0,,
508,2025-04-14,VC,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
509,2025-04-14,MJA,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
510,2025-04-14,MJA,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
511,2025-04-14,SVGM,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
512,2025-04-14,SVGM,2025-04-14,2025-04-15,Entregue,Fora do Prazo,1.0,0,,
513,2025-04-14,SVGM,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
514,2025-04-14,LNCE,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
515,2025-04-14,PMIC,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
516,2025-04-14,MJA,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
517,2025-04-14,PMIC,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
518,2025-04-14,RCO SME,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
519,2025-04-14,RCO SME,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
520,2025-04-14,RCO SME,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
521,2025-04-14,MUL,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
522,2025-04-14,CM3,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
523,2025-04-14,GPM GPM,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
524,2025-04-14,GPM GPM,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
525,2025-04-14,GPM GPM,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
526,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
527,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
528,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
529,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
530,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
531,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
532,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
533,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
534,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
535,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
536,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
537,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
538,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
539,2025-04-14,PB,2025-04-14,2025-05-01,Entregue,Fora do Prazo,17.0,0,,
540,2025-04-14,PB,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
541,2025-04-14,PB,2025-04-14,2025-04-15,Entregue,Fora do Prazo,1.0,0,,
542,2025-04-14,PB,2025-04-14,2025-04-15,Entregue,Fora do Prazo,1.0,0,,
543,2025-04-14,BCA,2025-04-14,2025-04-15,Entregue,Fora do Prazo,1.0,0,,
544,2025-04-14,GPM GPM,2025-04-14,2025-04-15,Entregue,Fora do Prazo,1.0,0,,
545,2025-04-14,GPM GPM,2025-05-01,2025-05-20,Entregue,Fora do Prazo,36.0,17,,
546,2025-04-14,GPM GPM,2025-04-14,2025-04-15,Entregue,Fora do Prazo,1.0,0,,
547,2025-04-14,GPM GPM,2025-04-14,2025-04-15,Entregue,Fora do Prazo,1.0,0,,
548,2025-04-14,GPM GPM,2025-04-14,2025-04-15,Entregue,Fora do Prazo,1.0,0,,
549,2025-04-14,GPM GPM,2025-04-14,2025-04-14,Entregue,Dentro do prazo,0.0,0,,
550,2025-04-15,MUL,2025-04-15,2025-04-15,Entregue,Dentro do prazo,0.0,0,,
551,2025-04-15,MUL,2025-04-16,2025-04-28,Entregue,Fora do Prazo,13.0,1,,
552,2025-04-15,MUL,2025-04-19,2025-04-28,Entregue,Fora do Prazo,13.0,4,,
553,2025-04-15,MUL,2025-05-01,2025-05-02,Entregue,Fora do Prazo,17.0,16,,
554,2025-04-15,MUL,2025-04-15,2025-04-16,Entregue,Fora do Prazo,1.0,0,,
555,2025-04-15,MUL,2025-04-15,2025-04-16,Entregue,Fora do Prazo,1.0,0,,
556,2025-04-15,MUL,2025-04-18,2025-05-01,Entregue,Fora do Prazo,16.0,3,,
557,2025-04-15,MUL,2025-04-18,2025-05-01,Entregue,Fora do Prazo,16.0,3,,
558,2025-04-15,MUL,2025-04-15,2025-04-16,Entregue,Fora do Prazo,1.0,0,,
559,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
560,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
561,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
562,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
563,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
564,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
565,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
566,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
567,2025-04-16,DLCA,2025-04-30,2025-05-01,Entregue,Fora do Prazo,15.0,14,,
568,2025-04-16,DLCA,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
569,2025-04-16,VC,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
570,2025-04-16,KTCN,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
571,2025-04-16,KTCN,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
572,2025-04-16,KTCN,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
573,2025-04-16,TRE,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
574,2025-04-16,DSC,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
575,2025-04-16,BICIE,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
576,2025-04-16,PB,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
577,2025-04-16,STO,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
578,2025-04-16,PB,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
579,2025-04-16,CMMH,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
580,2025-04-16,BIP,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
581,2025-04-16,BM,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
582,2025-04-16,BM,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
583,2025-04-16,CHNS,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
584,2025-04-16,CHNS,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
585,2025-04-16,ACDMH,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
586,2025-04-16,DLCA,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
587,2025-04-16,DLCA,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
588,2025-04-16,DLCA,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
589,2025-04-16,ILC,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
590,2025-04-16,JOW,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
591,2025-04-16,JOW,2025-04-16,2025-04-16,Entregue,Dentro do prazo,0.0,0,,
592,2025-04-16,JOW,2025-05-02,2025-05-07,Entregue,Fora do Prazo,21.0,16,,
593,2025-04-16,STO,2025-05-30,2025-05-23,Entregue,Dentro do prazo,37.0,44,,
594,2025-04-16,GPM GPM,2025-06-27,2025-06-30,Entregue,Fora do Prazo,75.0,72,,
595,2025-04-16,MUL,2025-05-02,2025-05-07,Entregue,Fora do Prazo,21.0,16,,
596,2025-04-16,MUL,2025-05-30,2025-05-23,Entregue,Dentro do prazo,37.0,44,,
