Pedido,Data pedido,Fornecedor,Data prevista,Data entregue,Status da Entrega,Pontualidade
348,2025-03-20,MF,2025-03-21,2025-04-07,Entregue,Fora do Prazo
349,2025-03-20,MF,2025-03-20,2025-03-28,Entregue,Fora do Prazo
350,2025-03-20,CCT,2025-03-20,2025-03-28,Entregue,Fora do Prazo
351,2025-03-20,CCT,2025-03-20,2025-03-28,Entregue,Fora do Prazo
352,2025-03-21,STO,2025-03-24,2025-04-02,Entregue,Fora do Prazo
353,2025-03-24,DCS,2025-03-24,2025-03-28,Entregue,Fora do Prazo
354,2025-03-24,STO,2025-03-24,2025-04-07,Entregue,Fora do Prazo
355,2025-03-24,STO,2025-03-24,2025-04-07,Entregue,Fora do Prazo
356,2025-03-24,FT,2025-03-24,2025-04-15,Entregue,Fora do Prazo
357,2025-03-24,PB,2025-03-24,2025-04-02,Entregue,Fora do Prazo
358,2025-03-24,MJA,2025-03-24,2025-04-11,Entregue,Fora do Prazo
359,2025-03-24,AEA,2025-03-24,2025-04-11,Entregue,Fora do Prazo
360,2025-03-24,AEA,2025-03-24,2025-04-09,Entregue,Fora do Prazo
361,2025-03-24,MJA,2025-03-24,2025-04-11,Entregue,Fora do Prazo
362,2025-03-24,RTPS,2025-03-24,2025-04-11,Entregue,Fora do Prazo
363,2025-03-24,WGA,2025-03-24,2025-04-09,Entregue,Fora do Prazo
364,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo
365,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo
366,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo
367,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo
368,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo
369,2025-03-24,FT,2025-03-24,2025-04-11,Entregue,Fora do Prazo
370,2025-03-24,FT,2025-03-24,2025-04-07,Entregue,Fora do Prazo
371,2025-03-24,FT,2025-03-24,2025-04-07,Entregue,Fora do Prazo
372,2025-03-24,FT,2025-03-24,2025-04-07,Entregue,Fora do Prazo
373,2025-03-24,VC,2025-03-24,2025-04-07,Entregue,Fora do Prazo
374,2025-03-24,VC,2025-03-27,2025-04-07,Entregue,Fora do Prazo
375,2025-03-24,VC,2025-03-27,2025-04-07,Entregue,Fora do Prazo
376,2025-03-24,SAP,2025-03-27,2025-04-07,Entregue,Fora do Prazo
377,2025-03-24,TOD,2025-03-27,2025-04-07,Entregue,Fora do Prazo
378,2025-03-25,MJA,2025-03-25,2025-04-03,Entregue,Fora do Prazo
379,2025-03-25,AB,2025-03-25,2025-04-04,Entregue,Fora do Prazo
380,2025-03-25,STO,2025-03-25,2025-04-07,Entregue,Fora do Prazo
381,2025-03-25,PB,2025-03-25,2025-04-07,Entregue,Fora do Prazo
382,2025-03-25,JOW,2025-03-25,2025-04-14,Entregue,Fora do Prazo
383,2025-03-25,JOW,2025-03-25,2025-04-24,Entregue,Fora do Prazo
384,2025-03-26,JOW,2025-04-28,2025-07-10,Entregue,Fora do Prazo
385,2025-03-26,PB,2025-04-28,2025-05-01,Entregue,Fora do Prazo
386,2025-03-26,BFPS,2025-05-28,2025-05-27,Entregue,Dentro do prazo
387,2025-03-26,TOD,2025-06-28,2025-07-10,Entregue,Fora do Prazo
388,2025-03-26,TOD,2025-04-28,2025-05-01,Entregue,Fora do Prazo
389,2025-03-26,TOD,2025-05-28,2025-05-27,Entregue,Dentro do prazo
390,2025-03-26,AFE,2025-06-28,2025-07-10,Entregue,Fora do Prazo
391,2025-03-26,AFE,2025-04-28,2025-05-01,Entregue,Fora do Prazo
392,2025-03-26,FSS,2025-04-28,2025-05-01,Entregue,Fora do Prazo
393,2025-03-26,CM,2025-04-28,2025-05-01,Entregue,Fora do Prazo
394,2025-03-26,CIMDE,2025-05-28,2025-05-27,Entregue,Dentro do prazo
395,2025-03-26,MJA,2025-06-28,2025-07-10,Entregue,Fora do Prazo
396,2025-03-27,ACDMH,2025-03-27,2025-04-03,Entregue,Fora do Prazo
397,2025-03-27,VC,2025-03-27,2025-04-03,Entregue,Fora do Prazo
398,2025-03-27,PB,2025-03-27,2025-04-03,Entregue,Fora do Prazo
399,2025-03-27,LCM,2025-03-27,2025-03-28,Entregue,Fora do Prazo
400,2025-03-27,DLCA,2025-03-27,2025-03-28,Entregue,Fora do Prazo
401,2025-03-27,DLCA,2025-03-27,2025-03-28,Entregue,Fora do Prazo
402,2025-03-27,DLCA,2025-03-27,2025-04-10,Entregue,Fora do Prazo
403,2025-03-27,DLCA,2025-03-27,2025-03-28,Entregue,Fora do Prazo
404,2025-03-27,JOW,2025-03-29,2025-04-10,Entregue,Fora do Prazo
405,2025-03-28,CDMICT,2025-03-28,2025-04-03,Entregue,Fora do Prazo
406,2025-03-28,SWA,2025-03-28,2025-04-03,Entregue,Fora do Prazo
407,2025-03-28,JPM,2025-04-21,2025-04-03,Entregue,Dentro do prazo
408,2025-03-31,CM,2025-03-31,2025-04-07,Entregue,Fora do Prazo
409,2025-03-31,CM,2025-03-31,2025-04-04,Entregue,Fora do Prazo
410,2025-03-31,CM,2025-03-31,2025-04-07,Entregue,Fora do Prazo
411,2025-03-31,CM,2025-03-31,2025-04-07,Entregue,Fora do Prazo
412,2025-03-31,CM,2025-03-31,2025-04-10,Entregue,Fora do Prazo
413,2025-03-31,DLCA,2025-03-31,2025-04-10,Entregue,Fora do Prazo
414,2025-03-31,JPM,2025-03-31,2025-04-10,Entregue,Fora do Prazo
415,2025-03-31,EMSPPA,2025-03-31,2025-04-10,Entregue,Fora do Prazo
416,2025-03-31,EMSPPA,2025-04-02,2025-04-03,Entregue,Fora do Prazo
417,2025-03-31,SGB,2025-03-31,2025-04-07,Entregue,Fora do Prazo
418,2025-03-31,SGB,2025-03-31,2025-04-02,Entregue,Fora do Prazo
419,2025-03-31,SGB,2025-03-31,2025-04-07,Entregue,Fora do Prazo
420,2025-03-31,VC,2025-03-31,2025-04-07,Entregue,Fora do Prazo
421,2025-03-31,CIDB,2025-03-31,2025-04-02,Entregue,Fora do Prazo
422,2025-03-31,MTLEC,2025-04-25,2025-05-20,Entregue,Fora do Prazo
423,2025-03-31,WEPP,2025-04-25,2025-05-20,Entregue,Fora do Prazo
424,2025-03-31,VC,2025-04-25,2025-05-20,Entregue,Fora do Prazo
425,2025-03-31,MRFC,2025-04-25,2025-05-20,Entregue,Fora do Prazo
426,2025-03-31,RCSS,2025-04-15,2025-05-20,Entregue,Fora do Prazo
427,2025-03-31,OBIC,2025-04-25,2025-05-20,Entregue,Fora do Prazo
428,2025-03-31,RCSS,2025-04-15,2025-05-20,Entregue,Fora do Prazo
429,2025-03-31,RCSS,2025-04-25,2025-05-20,Entregue,Fora do Prazo
430,2025-03-31,SRPA,2025-04-25,2025-05-20,Entregue,Fora do Prazo
431,2025-03-31,MCA,2025-03-31,2025-04-07,Entregue,Fora do Prazo
432,2025-03-31,MCA,2025-03-31,2025-04-07,Entregue,Fora do Prazo
433,2025-03-31,RCM,2025-03-31,2025-04-07,Entregue,Fora do Prazo
434,2025-04-01,ALRT,2025-04-01,2025-04-07,Entregue,Fora do Prazo
435,2025-04-01,ALRT,2025-04-01,2025-04-07,Entregue,Fora do Prazo
436,2025-04-01,ALRT,2025-04-03,2025-04-07,Entregue,Fora do Prazo
437,2025-04-02,ALRT,2025-04-02,2025-04-02,Entregue,Dentro do prazo
438,2025-04-02,RCM,2025-04-02,2025-04-03,Entregue,Fora do Prazo
439,2025-04-02,SWA3,2025-04-02,2025-04-07,Entregue,Fora do Prazo
440,2025-04-02,HHC,2025-04-02,2025-04-07,Entregue,Fora do Prazo
441,2025-04-02,CHNS,2025-04-02,2025-04-07,Entregue,Fora do Prazo
442,2025-04-02,CHNS,2025-04-02,2025-04-07,Entregue,Fora do Prazo
443,2025-04-03,EST,2025-04-03,2025-03-24,Entregue,Dentro do prazo
444,2025-04-03,EST,2025-04-03,2025-04-07,Entregue,Fora do Prazo
445,2025-04-03,EST,2025-04-03,2025-04-09,Entregue,Fora do Prazo
446,2025-04-03,EST,2025-04-03,,Não entregue,
447,2025-04-04,VCZ,2025-04-04,2025-04-07,Entregue,Fora do Prazo
448,2025-04-04,MOLE,2025-04-08,2025-04-09,Entregue,Fora do Prazo
449,2025-04-04,VC,2025-04-04,2025-04-09,Entregue,Fora do Prazo
450,2025-04-04,HMC,2025-04-04,2025-04-09,Entregue,Fora do Prazo
451,2025-04-04,HMC,2025-04-04,2025-04-07,Entregue,Fora do Prazo
452,2025-04-04,HMC,2025-04-04,2025-04-07,Entregue,Fora do Prazo
453,2025-04-04,HMC,2025-04-04,2025-04-07,Entregue,Fora do Prazo
454,2025-04-07,HMC,2025-04-09,2025-04-10,Entregue,Fora do Prazo
455,2025-04-07,HMC,2025-04-07,2025-04-07,Entregue,Dentro do prazo
456,2025-04-07,HMC,2025-04-07,2025-04-07,Entregue,Dentro do prazo
457,2025-04-07,HMC,2025-04-07,2025-04-07,Entregue,Dentro do prazo
458,2025-04-07,HMC,2025-04-07,2025-04-07,Entregue,Dentro do prazo
459,2025-04-07,HMC,2025-04-07,2025-04-09,Entregue,Fora do Prazo
460,2025-04-07,MCA,2025-04-07,2025-04-09,Entregue,Fora do Prazo
461,2025-04-09,MCA,2025-04-09,2025-04-09,Entregue,Dentro do prazo
462,2025-04-09,MCA,2025-04-09,2025-04-09,Entregue,Dentro do prazo
463,2025-04-09,DLCA,2025-04-09,2025-04-09,Entregue,Dentro do prazo
464,2025-04-09,BIP,2025-04-12,2025-04-28,Entregue,Fora do Prazo
465,2025-04-09,BM,2025-04-09,2025-04-09,Entregue,Dentro do prazo
466,2025-04-09,BM,2025-04-09,2025-04-10,Entregue,Fora do Prazo
467,2025-04-09,KTCN,2025-04-09,2025-04-10,Entregue,Fora do Prazo
468,2025-04-10,KTCN,2025-04-10,2025-04-10,Entregue,Dentro do prazo
469,2025-04-10,CHNS,2025-04-10,2025-04-14,Entregue,Fora do Prazo
470,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo
471,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo
472,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo
473,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo
474,2025-04-10,RPCT,2025-04-10,2025-04-14,Entregue,Fora do Prazo
475,2025-04-10,RPCT,2025-04-10,2025-04-11,Entregue,Fora do Prazo
476,2025-04-11,AFE,2025-04-11,2025-04-11,Entregue,Dentro do prazo
477,2025-04-11,MJA,2025-04-11,2025-04-11,Entregue,Dentro do prazo
478,2025-04-11,MJA,2025-04-11,2025-04-11,Entregue,Dentro do prazo
479,2025-04-11,MJA,2025-04-11,2025-04-11,Entregue,Dentro do prazo
480,2025-04-11,MJA,2025-04-11,2025-04-11,Entregue,Dentro do prazo
481,2025-04-11,PB,2025-04-11,2025-04-11,Entregue,Dentro do prazo
482,2025-04-11,PB,2025-04-11,2025-04-11,Entregue,Dentro do prazo
483,2025-04-11,MOLE,2025-04-11,2025-04-14,Entregue,Fora do Prazo
484,2025-04-11,RAGS,2025-04-11,2025-04-16,Entregue,Fora do Prazo
485,2025-04-11,PB,2025-04-11,2025-04-16,Entregue,Fora do Prazo
486,2025-04-11,MR,2025-04-11,2025-04-16,Entregue,Fora do Prazo
487,2025-04-11,MR,2025-04-11,2025-05-14,Entregue,Fora do Prazo
488,2025-04-11,MR,2025-04-11,2025-05-14,Entregue,Fora do Prazo
489,2025-04-11,MR,2025-04-11,2025-05-14,Entregue,Fora do Prazo
490,2025-04-11,SGB,2025-04-11,2025-05-14,Entregue,Fora do Prazo
491,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo
492,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo
493,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo
494,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo
495,2025-04-11,MCA,2025-04-11,2025-05-14,Entregue,Fora do Prazo
496,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo
497,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo
498,2025-04-11,SRPA,2025-04-11,2025-05-14,Entregue,Fora do Prazo
499,2025-04-11,JMCT,2025-04-11,2025-05-14,Entregue,Fora do Prazo
500,2025-04-11,WCI,2025-04-11,2025-05-01,Entregue,Fora do Prazo
501,2025-04-11,WCI,2025-04-11,2025-05-01,Entregue,Fora do Prazo
502,2025-04-11,WCI,2025-04-11,2025-05-01,Entregue,Fora do Prazo
503,2025-04-11,WCI,2025-04-11,2025-05-01,Entregue,Fora do Prazo
504,2025-04-11,VCZ,2025-04-11,2025-05-01,Entregue,Fora do Prazo
505,2025-04-11,DCD,2025-04-11,2025-04-14,Entregue,Fora do Prazo
506,2025-04-11,VC,2025-04-11,2025-04-16,Entregue,Fora do Prazo
507,2025-04-11,VTA,2025-04-11,2025-04-14,Entregue,Fora do Prazo
508,2025-04-14,VC,2025-04-14,2025-04-14,Entregue,Dentro do prazo
509,2025-04-14,MJA,2025-04-14,2025-04-14,Entregue,Dentro do prazo
510,2025-04-14,MJA,2025-04-14,2025-04-14,Entregue,Dentro do prazo
511,2025-04-14,SVGM,2025-04-14,2025-04-14,Entregue,Dentro do prazo
512,2025-04-14,SVGM,2025-04-14,2025-04-15,Entregue,Fora do Prazo
513,2025-04-14,SVGM,2025-04-14,2025-04-14,Entregue,Dentro do prazo
514,2025-04-14,LNCE,2025-04-14,2025-04-14,Entregue,Dentro do prazo
515,2025-04-14,PMIC,2025-04-14,2025-04-14,Entregue,Dentro do prazo
516,2025-04-14,MJA,2025-04-14,2025-04-14,Entregue,Dentro do prazo
517,2025-04-14,PMIC,2025-04-14,2025-04-14,Entregue,Dentro do prazo
518,2025-04-14,RCO SME,2025-04-14,2025-04-14,Entregue,Dentro do prazo
519,2025-04-14,RCO SME,2025-04-14,2025-04-14,Entregue,Dentro do prazo
520,2025-04-14,RCO SME,2025-04-14,2025-04-14,Entregue,Dentro do prazo
521,2025-04-14,MUL,2025-04-14,2025-04-14,Entregue,Dentro do prazo
522,2025-04-14,CM3,2025-04-14,2025-04-14,Entregue,Dentro do prazo
523,2025-04-14,GPM GPM,2025-04-14,2025-04-14,Entregue,Dentro do prazo
524,2025-04-14,GPM GPM,2025-04-14,2025-04-14,Entregue,Dentro do prazo
525,2025-04-14,GPM GPM,2025-04-14,2025-04-14,Entregue,Dentro do prazo
526,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo
527,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo
528,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo
529,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo
530,2025-04-14,GPM GPM,2025-04-14,2025-05-01,Entregue,Fora do Prazo
531,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo
532,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo
533,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo
534,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo
535,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo
536,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo
537,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo
538,2025-04-14,MJA,2025-04-14,2025-05-01,Entregue,Fora do Prazo
539,2025-04-14,PB,2025-04-14,2025-05-01,Entregue,Fora do Prazo
540,2025-04-14,PB,2025-04-14,2025-04-14,Entregue,Dentro do prazo
541,2025-04-14,PB,2025-04-14,2025-04-15,Entregue,Fora do Prazo
542,2025-04-14,PB,2025-04-14,2025-04-15,Entregue,Fora do Prazo
543,2025-04-14,BCA,2025-04-14,2025-04-15,Entregue,Fora do Prazo
544,2025-04-14,GPM GPM,2025-04-14,2025-04-15,Entregue,Fora do Prazo
545,2025-04-14,GPM GPM,2025-05-01,2025-05-20,Entregue,Fora do Prazo
546,2025-04-14,GPM GPM,2025-04-14,2025-04-15,Entregue,Fora do Prazo
547,2025-04-14,GPM GPM,2025-04-14,2025-04-15,Entregue,Fora do Prazo
548,2025-04-14,GPM GPM,2025-04-14,2025-04-15,Entregue,Fora do Prazo
549,2025-04-14,GPM GPM,2025-04-14,2025-04-14,Entregue,Dentro do prazo
550,2025-04-15,MUL,2025-04-15,2025-04-15,Entregue,Dentro do prazo
551,2025-04-15,MUL,2025-04-16,2025-04-28,Entregue,Fora do Prazo
552,2025-04-15,MUL,2025-04-19,2025-04-28,Entregue,Fora do Prazo
553,2025-04-15,MUL,2025-05-01,2025-05-02,Entregue,Fora do Prazo
554,2025-04-15,MUL,2025-04-15,2025-04-16,Entregue,Fora do Prazo
555,2025-04-15,MUL,2025-04-15,2025-04-16,Entregue,Fora do Prazo
556,2025-04-15,MUL,2025-04-18,2025-05-01,Entregue,Fora do Prazo
557,2025-04-15,MUL,2025-04-18,2025-05-01,Entregue,Fora do Prazo
558,2025-04-15,MUL,2025-04-15,2025-04-16,Entregue,Fora do Prazo
559,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo
560,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo
561,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo
562,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo
563,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo
564,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo
565,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo
566,2025-04-16,MUL,2025-04-16,2025-04-16,Entregue,Dentro do prazo
567,2025-04-16,DLCA,2025-04-30,2025-05-01,Entregue,Fora do Prazo
568,2025-04-16,DLCA,2025-04-16,2025-04-16,Entregue,Dentro do prazo
569,2025-04-16,VC,2025-04-16,2025-04-16,Entregue,Dentro do prazo
570,2025-04-16,KTCN,2025-04-16,2025-04-16,Entregue,Dentro do prazo
571,2025-04-16,KTCN,2025-04-16,2025-04-16,Entregue,Dentro do prazo
572,2025-04-16,KTCN,2025-04-16,2025-04-16,Entregue,Dentro do prazo
573,2025-04-16,TRE,2025-04-16,2025-04-16,Entregue,Dentro do prazo
574,2025-04-16,DSC,2025-04-16,2025-04-16,Entregue,Dentro do prazo
575,2025-04-16,BICIE,2025-04-16,2025-04-16,Entregue,Dentro do prazo
576,2025-04-16,PB,2025-04-16,2025-04-16,Entregue,Dentro do prazo
577,2025-04-16,STO,2025-04-16,2025-04-16,Entregue,Dentro do prazo
578,2025-04-16,PB,2025-04-16,2025-04-16,Entregue,Dentro do prazo
579,2025-04-16,CMMH,2025-04-16,2025-04-16,Entregue,Dentro do prazo
580,2025-04-16,BIP,2025-04-16,2025-04-16,Entregue,Dentro do prazo
581,2025-04-16,BM,2025-04-16,2025-04-16,Entregue,Dentro do prazo
582,2025-04-16,BM,2025-04-16,2025-04-16,Entregue,Dentro do prazo
583,2025-04-16,CHNS,2025-04-16,2025-04-16,Entregue,Dentro do prazo
584,2025-04-16,CHNS,2025-04-16,2025-04-16,Entregue,Dentro do prazo
585,2025-04-16,ACDMH,2025-04-16,2025-04-16,Entregue,Dentro do prazo
586,2025-04-16,DLCA,2025-04-16,2025-04-16,Entregue,Dentro do prazo
587,2025-04-16,DLCA,2025-04-16,2025-04-16,Entregue,Dentro do prazo
588,2025-04-16,DLCA,2025-04-16,2025-04-16,Entregue,Dentro do prazo
589,2025-04-16,ILC,2025-04-16,2025-04-16,Entregue,Dentro do prazo
590,2025-04-16,JOW,2025-04-16,2025-04-16,Entregue,Dentro do prazo
591,2025-04-16,JOW,2025-04-16,2025-04-16,Entregue,Dentro do prazo
592,2025-04-16,JOW,2025-05-02,2025-05-07,Entregue,Fora do Prazo
593,2025-04-16,STO,2025-05-30,2025-05-23,Entregue,Dentro do prazo
594,2025-04-16,GPM GPM,2025-06-27,2025-06-30,Entregue,Fora do Prazo
595,2025-04-16,MUL,2025-05-02,2025-05-07,Entregue,Fora do Prazo
596,2025-04-16,MUL,2025-05-30,2025-05-23,Entregue,Dentro do prazo
597,2025-04-16,PB,2025-06-27,2025-05-23,Entregue,Dentro do prazo
598,2025-04-16,GPM GPM,2025-05-02,2025-05-07,Entregue,Fora do Prazo
599,2025-04-16,GPM GPM,2025-05-30,2025-05-07,Entregue,Dentro do prazo
600,2025-04-16,GPM GPM,2025-06-27,2025-05-07,Entregue,Dentro do prazo
601,2025-04-16,GPM GPM,2025-05-02,2025-05-07,Entregue,Fora do Prazo
602,2025-04-16,GPM GPM,2025-05-30,2025-05-23,Entregue,Dentro do prazo
603,2025-04-16,GPM GPM,2025-06-27,2025-05-23,Entregue,Dentro do prazo
604,2025-04-16,GPM GPM,2025-05-02,2025-06-30,Entregue,Fora do Prazo
605,2025-04-16,GPM GPM,2025-05-30,2025-05-07,Entregue,Dentro do prazo
606,2025-04-16,GPM GPM,2025-06-27,2025-05-23,Entregue,Dentro do prazo
607,2025-04-16,PAS,2025-05-02,2025-05-07,Entregue,Fora do Prazo
608,2025-04-16,STO,2025-05-30,2025-05-23,Entregue,Dentro do prazo
609,2025-04-16,LCM,2025-06-27,,Não entregue,
610,2025-04-16,RMF,2025-05-02,2025-05-07,Entregue,Fora do Prazo
611,2025-04-16,ACV,2025-05-30,2025-05-23,Entregue,Dentro do prazo
612,2025-04-16,ACV,2025-06-27,2025-05-23,Entregue,Dentro do prazo
613,2025-04-16,VC,2025-05-02,2025-05-07,Entregue,Fora do Prazo
614,2025-04-16,VC,2025-05-30,2025-05-23,Entregue,Dentro do prazo
615,2025-04-16,ACV,2025-06-27,2025-06-30,Entregue,Fora do Prazo
616,2025-04-16,STO,2025-04-16,2025-04-16,Entregue,Dentro do prazo
617,2025-04-16,STO,2025-04-16,2025-04-16,Entregue,Dentro do prazo
618,2025-04-16,MDMEC,2025-04-16,2025-04-16,Entregue,Dentro do prazo
619,2025-04-16,RIC,2025-04-16,2025-04-16,Entregue,Dentro do prazo
620,2025-04-17,PIC,2025-04-17,2025-04-17,Entregue,Dentro do prazo
621,2025-04-17,PIC,2025-04-17,2025-05-02,Entregue,Fora do Prazo
622,2025-04-17,EST,2025-04-17,2025-04-17,Entregue,Dentro do prazo
623,2025-04-17,RIC,2025-04-17,2025-05-02,Entregue,Fora do Prazo
624,2025-04-17,RCSS,2025-04-17,2025-05-02,Entregue,Fora do Prazo
625,2025-04-17,BCA,2025-04-17,2025-05-02,Entregue,Fora do Prazo
626,2025-04-17,BCA,2025-04-17,2025-04-27,Entregue,Fora do Prazo
627,2025-04-17,BCA,2025-04-17,2025-04-27,Entregue,Fora do Prazo
628,2025-04-17,BCA,2025-04-17,2025-05-01,Entregue,Fora do Prazo
629,2025-04-17,BCA,2025-04-17,2025-04-27,Entregue,Fora do Prazo
630,2025-04-17,BICIE,2025-04-17,2025-04-27,Entregue,Fora do Prazo
631,2025-04-17,VCZ,2025-04-17,2025-04-27,Entregue,Fora do Prazo
632,2025-04-17,SRPA,2025-04-17,2025-04-27,Entregue,Fora do Prazo
633,2025-04-17,SRPA,2025-04-17,2025-04-27,Entregue,Fora do Prazo
634,2025-04-17,SWA,2025-04-17,2025-04-17,Entregue,Dentro do prazo
635,2025-04-17,SWA,2025-04-17,2025-04-17,Entregue,Dentro do prazo
636,2025-04-17,SWA,2025-04-17,2025-04-17,Entregue,Dentro do prazo
637,2025-04-17,BCA,2025-04-17,2025-04-17,Entregue,Dentro do prazo
638,2025-04-17,ENICA,2025-04-17,2025-04-17,Entregue,Dentro do prazo
639,2025-04-17,TOD,2025-04-17,2025-04-17,Entregue,Dentro do prazo
640,2025-04-17,TOD,2025-04-17,2025-04-17,Entregue,Dentro do prazo
641,2025-04-17,TOD,2025-04-17,2025-04-17,Entregue,Dentro do prazo
642,2025-04-17,TOD,2025-04-17,2025-04-17,Entregue,Dentro do prazo
643,2025-04-17,TOD,2025-04-17,2025-04-17,Entregue,Dentro do prazo
644,2025-04-17,HMC,2025-04-17,2025-04-17,Entregue,Dentro do prazo
645,2025-04-17,RCM,2025-04-17,2025-04-17,Entregue,Dentro do prazo
646,2025-04-22,SWA,2025-04-22,2025-04-28,Entregue,Fora do Prazo
647,2025-04-22,SWA,2025-04-25,2025-05-01,Entregue,Fora do Prazo
648,2025-04-22,SWA,2025-04-22,2025-05-01,Entregue,Fora do Prazo
649,2025-04-22,MOLE,2025-04-22,2025-05-01,Entregue,Fora do Prazo
650,2025-04-23,MOLE,2025-05-12,2025-05-27,Entregue,Fora do Prazo
651,2025-04-23,MJA,2025-05-12,2025-05-27,Entregue,Fora do Prazo
652,2025-04-23,TOD,2025-05-12,2025-05-27,Entregue,Fora do Prazo
653,2025-04-23,MUL,2025-05-12,2025-05-27,Entregue,Fora do Prazo
654,2025-04-23,PB,2025-05-12,2025-05-27,Entregue,Fora do Prazo
655,2025-04-23,PB,2025-05-12,2025-05-27,Entregue,Fora do Prazo
656,2025-04-23,PB,2025-05-12,2025-05-27,Entregue,Fora do Prazo
657,2025-04-23,PIN,2025-05-12,2025-05-27,Entregue,Fora do Prazo
658,2025-04-23,PB,2025-05-12,2025-05-27,Entregue,Fora do Prazo
659,2025-04-23,DCS,2025-05-12,2025-05-27,Entregue,Fora do Prazo
660,2025-04-23,MJA,2025-05-12,2025-05-27,Entregue,Fora do Prazo
661,2025-04-23,MJA,2025-05-12,2025-05-27,Entregue,Fora do Prazo
662,2025-04-23,TOD,2025-05-12,2025-05-27,Entregue,Fora do Prazo
663,2025-04-23,JPM,2025-04-23,2025-04-27,Entregue,Fora do Prazo
664,2025-04-23,MJA,2025-04-23,2025-04-28,Entregue,Fora do Prazo
665,2025-04-23,VC,2025-04-23,2025-04-28,Entregue,Fora do Prazo
666,2025-04-23,ALRT,2025-04-23,2025-04-28,Entregue,Fora do Prazo
667,2025-04-23,ALRT,2025-04-23,2025-04-28,Entregue,Fora do Prazo
668,2025-04-23,ALRT,2025-04-23,2025-04-28,Entregue,Fora do Prazo
669,2025-04-23,ALRT,2025-04-23,2025-04-28,Entregue,Fora do Prazo
670,2025-04-23,ALRT,2025-04-23,2025-04-28,Entregue,Fora do Prazo
671,2025-04-23,ALRT,2025-04-23,2025-05-01,Entregue,Fora do Prazo
672,2025-04-23,ALRT,2025-04-23,2025-04-28,Entregue,Fora do Prazo
673,2025-04-23,MF,2025-04-23,2025-04-28,Entregue,Fora do Prazo
674,2025-04-23,MF,2025-04-23,2025-04-28,Entregue,Fora do Prazo
675,2025-04-23,CCT,2025-04-23,2025-04-28,Entregue,Fora do Prazo
676,2025-04-23,CCT,2025-04-23,2025-04-28,Entregue,Fora do Prazo
677,2025-04-23,STO,2025-04-23,2025-04-28,Entregue,Fora do Prazo
678,2025-04-23,DCS,2025-04-23,2025-04-28,Entregue,Fora do Prazo
679,2025-04-23,STO,2025-04-23,2025-04-28,Entregue,Fora do Prazo
680,2025-04-23,STO,2025-04-23,2025-04-28,Entregue,Fora do Prazo
681,2025-04-23,FT,2025-05-03,2025-05-01,Entregue,Dentro do prazo
682,2025-04-24,PB,2025-04-24,2025-05-01,Entregue,Fora do Prazo
683,2025-04-24,MJA,2025-04-28,2025-05-01,Entregue,Fora do Prazo
684,2025-04-24,AEA,2025-05-06,2025-05-01,Entregue,Dentro do prazo
685,2025-04-24,AEA,2025-05-06,2025-05-01,Entregue,Dentro do prazo
